Date, SB,#, Scenario Description, Pre- Condition,Expected Results, Test Step ,Test data, User Role / Profile, Tester,Result,Comments,Remarks,Screenshots
,,TC-027,To verify Upcoming Payout Amount Display.,"1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".",Upcoming payout amount should be displayed accurately.,"1. Open the Dashboard page.
2. Observe the upcoming payout amount details.",,,Shivam,,,,
,,TC-028,To verify Payout Stats Display.,"1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Payout statistics (weekly, monthly, account rate) should be fetched from the account previous payout records and displayed accurately.","1. Open the Dashboard page.
2. Verify the payout stats with account records.",,,Shivam,,,,
,,TC-029,To verify Highest Withdrawal Details Display.,"1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".",List of top withdrawal amounts should be based on the calculations account's withdrawal records and displayed accurately with appropriate user account.,"1. Open the Dashboard page.
2. Verify the Highest withdrawals user list.",,,Shivam,,,,
,,TC-030,To verify Activity Feed Display.,"1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".",Recent activities should be displayed with correct date and activity name in the activity feed toggle.,"1. Open the Dashboard page.
2. Verify the recent activities of the account.",,,Shivam,,,,
,,TC-031,To verify Page Layout,"1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Page layout should be aligned, organized, and easy to navigate for the user.","1. Open the Dashboard page.
2. Check for proper alignment and readability of elements.",,,Shivam,,,,
,,TC-032,To verify Data Loading Error ,"1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".",An error message should be displayed or contacting support.,"1. Open the Dashboard page.
2. Simulate a scenario where data fails to load.",,,Shivam,,,,
,,TC-033,To verify Refresh Data.,"1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".",Data should be refreshed and updated with the latest information as per their time criterias are completed.,"1. Open the Dashboard page.
2. Refresh the dashboard.",,,Shivam,,,,
,,TC-034,To verify Payout of the Week display.,"1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".",The top payouts should be calculated by system and displayed the maximum payouts user account in the list accurately.,"1. Open the Dashboard page.
2. Verify the top payout of the week list.",,,Shivam,,,,
,,TC-035,"To verify Challenge Performance ""view more"" button.","1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Clicking on the ""View more"" button, it should display more accounts.","1. Open the Dashboard page.
2. Click on the ""View more"" buton.",,,Shivam,,,,
,,TC-036,To verify Challenge Performance Growth chart dipslay.,"1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Growth chart should display the active selected account growth based on the filters of Drawdown, Balance and equity.","1. Open the Dashboard page.
2. Select the active account.
3. Observe and verify the chart is accurate.",,,Shivam,,,,
,,TC-037,To verify Challenge Performance Growth chart iframe.,"1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Clicking on the Challenge Performance Growth chart, it should be opened the iframe displaying the chart in zoom in and statistics amounts accurate.","1. Open the Dashboard page.
2. Click on the Growth Chart.",,,Shivam,,,,
,,TC-038,"To verify PRO ACCOUNT ""Upgrade to PRO"" button.","1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Clicking on the ""Upgrade to PRO"" button, it should navigate to the Pro account upgradation process page.","1. Open the Dashboard page.
2. Click on the ""Upgrade to PRO"" button.",,,Shivam,,,,
Challenges: New Challenge,,,,,,,,,,,,,
,,TC-039,"To verify ""Challenges"" option dropdown.","1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Clicking on the ""Challenges"" option in the user panel, it should open a dropdown showing two Challenges options. ","1. Open the dashboard page.
2. Click on the ""Challenges"" option and observe two options.",,,Shivam,,,,
,,TC-040,"To verify ""New Challenge"" option.","1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Selecting the ""New Challenge"" option, it should navigate to ""Start A Challenge"" page.","1. Open the dashboard page.
2. Click on the ""New Challenge"" option.",,,Shivam,,,,
Challenges:- New Challenge ->  Build A Challenge,,,,,,,,,,,,,
,,TC-041,"To verify ""START YOUR CHALLENGE"" button.","1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Clicking the ""START YOUR CHALLENGE"" button, it should navigate to ""Checkout"" process page.","1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.",,,Shivam,,,,
,,TC-042,"To verify ""Evaluation Stages"" tiles option.","1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Selecting the different ""Evaluation Stages"", the ""Checkout Card"" statistics should be changes  as per the selected evaluation stage.","1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Then select other stage option and observe the statistics.",,,Shivam,,,,
,,TC-043,"To verify ""Checkout Card"" statistics.","1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Changing the evaluation stage, it should change the ""Checkout Card"" statistics and display the correct statistics for the selected  stage.","1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Change the stage option and verify the statistics.",,,Shivam,,,,
,,TC-044,"To verify Account Balance page ""Next"" button.","1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Clicking on the ""Next"" button, it should navigate to tab for selecting the investing amount.","1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the account option.
5. Click on the ""Next"" button.",,,Shivam,,,,
,,TC-045,"To verify Account Balance ""Checkout Card"" statistics.","1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Changing the investing amount, it should change the ""Checkout Card"" statistics and display the correct statistics for the selected amount.","1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5.  Verify the statistics.",,,Shivam,,,,
,,TC-046,"To verify Account Balance tab ""Next"" button.","1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Clicking on the ""Next"" button, it should navigate to tab for selecting the Account type page.","1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.",,,Shivam,,,,
,,TC-047,"To verify ""Account Type"" tiles.","1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Selecting the ""Account Type"", it should highlighted and ""Checkout card Statistics"" should be changed as per the selected account type.","1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".",,,Shivam,,,,
,,TC-048,"To verify Account Type page ""Next"" button.","1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Clicking on the ""Next"" button, it should navigate to ""Confirm Order"" page.","1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.",,,Shivam,,,,
,,TC-049,"To verify ""Confirm Order"" page fields accept valid inputs.","1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".",All the fields should be filled with the required criteria of individual field.,"1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.
9. Enter the valid inputs in all the fields.",,,Shivam,,,,
,,TC-050,"To verify ""Confirm Order"" page fields accept invalid inputs.","1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Field should not be filled with invalid inputs, it should the error message to fill the valid input in specific field with the required criteria of the field.","1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.
9. Enter the invalid inputs in every and check the error message is displayed.",,,Shivam,,,,
,,TC-051,"To verify ""Confirm Order"" page ""Country"" field.","1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Selecting the country from the dropdown list, it should be displyaed as selected country in the field.","1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.
9. Enter the valid inputs in all the fields.
10. Select the Country from dropdown list.",,,Shivam,,,,
,,TC-052,"To verify Confirm Order page ""Next"" button.","1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Clicking on the ""Next"" button, it should navigate to ""Payment Gateway"" page.","1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.
9. Enter the valid inputs in all the fields.
10. Select the Country from dropdown list.
11.Click on the ""Next"" button.",,,Shivam,,,,
,,TC-053,"To verify ""Payment Gateway"" options.","1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Selecting the ""Payment Gateway"" option, it should be highighted and ""Radio"" button checked.","1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.
9. Enter the valid inputs in all the fields.
10. Select the Country from dropdown list.
11. Click on the ""Next"" button.
12. Select the ""Payment Gateway"" option.",,,Shivam,,,,
,,TC-054,"To verify ""Payment Gateway"" page ""Next"" button.","1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Clicking on the ""Next"" button, it should navigate to the selected payment site.","1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.
9. Enter the valid inputs in all the fields.
10. Select the Country from dropdown list.
11. Click on the ""Next"" button.
12. Select the ""Payment Gateway"" option.
13. Click on the ""Next"" button.",,,Shivam,,,,
,,TC-055,To verify Valid Payment from Credit Card.,"1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".",Payment process should be successfull and confirmation page displayed with transaction details.,"1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.
9. Enter the valid inputs in all the fields.
10. Select the Country from dropdown list.
11. Click on the ""Next"" button.
12. Select the ""Paypal"" option.
13. Click on the ""Next"" button.
14. Enter valid credit card details, billing information, and amount.",,,Shivam,,,,
,,TC-056,To verify valid discount code.,"1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".",Entering valid discount code which will be getting from the social media channels should be applicable for as per offer disount amount.,"1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.
9. Enter the valid inputs in all the fields.
10. Select the Country from dropdown list.
11. Click on the ""Next"" button.
12. Select the ""Paypal"" option.
13. Enter the valid discount code.
",,,Shivam,,,,
,,TC-057,"To verify Discount code ""Apply"" button.","1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Clicing on the ""Apply"" button, it should be applicable and subtract from the amount balance to pay.","1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.
9. Enter the valid inputs in all the fields.
10. Select the Country from dropdown list.
11. Click on the ""Next"" button.
12. Select the ""Paypal"" option.
13. Enter the valid discount code.
14. Click on the ""Apply"" button.",,,Shivam,,,,
,,TC-058,To verify Valid Payment from Debit Card.,"1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".",Payment process should be successfull and confirmation page displayed with transaction details.,"1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the """"Account Type"""".
8. Click on the ""Next"" button.
9. Enter the valid inputs in all the fields.
10. Select the Country from dropdown list.
11. Click on the ""Next"" button.
12. Select the ""Paypal"" option.
13. Click on the ""Next"" button.
14. Enter valid debit card details, billing information, and amount.",,,Shivam,,,,
,,TC-059,To verify Valid Payment from PayPal Account.,"1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".
2. Paypal Account.",Payment process should be successfull and confirmation page displayed with transaction details.,"1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.
9. Enter the valid inputs in all the fields.
10. Select the Country from dropdown list.
11. Click on the ""Next"" button.
12. Select the ""Paypal"" option.
13. Click on the ""Next"" button.
14. Log in with PayPal account, authorize payment.",,,Shivam,,,,
,,TC-060,To verify Invalid Card Number.,"1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Error message should be displayed: ""Your card isn't valid. Update the number and try again.""","1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.
9. Enter the valid inputs in all the fields.
10. Select the Country from dropdown list.
11. Click on the ""Next"" button.
12. Select the ""Paypal"" option.
13. Click on the ""Next"" button.
14. Enter invalid card number such as incorrect length, invalid digits.",,,Shivam,,,,
,,TC-061,To verify Expired Card.,"1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Error message should be displayed: ""Update your card's expiry date or Your card is expired.""","1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.
9. Enter the valid inputs in all the fields.
10. Select the Country from dropdown list.
11. Click on the ""Next"" button.
12. Select the ""Paypal"" option.
13. Click on the ""Next"" button.
14. Enter expired card details.",,,Shivam,,,,
,,TC-062,To verify fields left empty.,"1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Error message should be displayed: ""Please fill in all required fields.""","1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.
9. Enter the valid inputs in all the fields.
10. Select the Country from dropdown list.
11. Click on the ""Next"" button.
12. Select the ""Paypal"" option.
13. Click on the ""Next"" button.
14. Leave required fields empty such as card number, CVV, billing address.",,,Shivam,,,,
,,TC-063,To verify Incorrect Email Format.,"1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Error message should be displayed: ""Your email address isn't valid. Update the email address and try again.""","1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.
9. Enter the valid inputs in all the fields.
10. Select the Country from dropdown list.
11. Click on the ""Next"" button.
12. Select the ""Paypal"" option.
13. Click on the ""Next"" button.
14. Enter invalid email address format.",,,Shivam,,,,
,,TC-064,To verify Cancel Payment.,"1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Clicking on the ""Cancel and return to merchant"" hyperlink, Payment should be canceled and user should returned to the previous page without any charges.","1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.
9. Enter the valid inputs in all the fields.
10. Select the Country from dropdown list.
11. Click on the ""Next"" button.
12. Select the ""Paypal"" option.
13. Click on the ""Next"" button.
14. Click ""Cancel"" button during payment process.",,,Shivam,,,,
,,TC-065,To verify Security Features displaying.,"1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".",Security features should be present and displayed prominently.,"1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.
9. Enter the valid inputs in all the fields.
10. Select the Country from dropdown list.
11. Click on the ""Next"" button.
12. Select the ""Paypal"" option.
13. Click on the ""Next"" button.
14. Verify presence of security features like secure payment gateway logo and security badges.",,,Shivam,,,,
,,TC-066,To verify Error Handling messages.,"1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Error messages should be clear, concise, and provide helpful guidance to the user.","1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.
9. Enter the valid inputs in all the fields.
10. Select the Country from dropdown list.
11. Click on the ""Next"" button.
12. Select the ""Paypal"" option.
13. Click on the ""Next"" button.
14. Check for clear and informative error messages.",,,Shivam,,,,
,,TC-067,To verify Privacy Statement checkbox.,"1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Error message should be displayed ""Please confirm that you have read and agree to the PayPal Terms and Conditions"". without checking the Privacy Statement checkbox.","1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.
9. Enter the valid inputs in all the fields.
10. Select the Country from dropdown list.
11. Click on the ""Next"" button.
12. Select the ""Paypal"" option.
13. Click on the ""Next"" button.
14. Fill all the valid details in the fields. 
15. Keep the checkbox unchecked and cllick ""Continue"" button.",,,Shivam,,,,
,,TC-068,To verify Tazapay payment option.,"1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Selecting the Tazapay and and click ""Next"" button, it should ""Tazapay Payment"" page.","1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.
9. Enter the valid inputs in all the fields.
10. Select the Country from dropdown list.
11. Click on the ""Next"" button.
12. Select the ""Tazapay"" option.
13. Click on the ""Next"" button.",,,Shivam,,,,
,,TC-069,To verify valid discount code.,"1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".",Entering valid discount code which will be getting from the social media channels should be applicable for as per offer disount amount.,"1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.
9. Enter the valid inputs in all the fields.
10. Select the Country from dropdown list.
11. Click on the ""Next"" button.
12. Select the ""Paypal"" option.
13. Enter the valid discount code.
",,,Shivam,,,,
